time,x,y,z
5.006443,0.405,-0.067,0.346
5.008604,0.404,-0.035,0.348
5.020339,0.401,-0.007,0.35
5.02374,0.342,0.053,0.332
5.039267,0.329,0.059,0.322
5.058357,0.194,0.082,0.229
5.077403,0.018,0.134,0.113
5.081594,-0.217,0.165,0.038
5.084295,-0.246,0.168,0.033
5.08681,-0.272,0.17,0.025
5.089264,-0.299,0.174,0.018
5.09165,-0.321,0.181,0.01
5.098134,-0.344,0.187,0.004
5.101828,-0.393,0.221,-0.023
5.104302,-0.402,0.233,-0.033
5.106797,-0.409,0.244,-0.043
5.11773,-0.413,0.256,-0.053
5.126346,-0.392,0.328,-0.094
5.137567,-0.361,0.351,-0.102
5.141957,-0.218,0.382,-0.081
5.156743,-0.19,0.377,-0.072
5.17647,-0.027,0.274,0.031
5.195518,0.105,0.059,0.18
5.214335,0.159,-0.057,0.284
5.233423,0.164,0.101,0.245
5.255025,0.133,0.215,0.226
5.274335,0.033,-0.128,0.487
5.292799,-0.07,-0.424,0.72
5.296469,-0.068,-0.221,0.609
5.298294,-0.063,-0.175,0.578
5.301141,-0.057,-0.13,0.542
5.303328,-0.049,-0.086,0.507
5.305719,-0.039,-0.044,0.472
5.308845,-0.028,-0.006,0.433
5.314895,-0.018,0.023,0.398
5.315506,-0.008,0.046,0.364
5.316477,0.003,0.062,0.331
5.318326,0.015,0.07,0.297
5.320811,0.027,0.067,0.268
5.323321,0.04,0.059,0.241
5.325866,0.053,0.045,0.215
5.334702,0.064,0.025,0.192
5.338388,0.115,-0.124,0.105
5.341266,0.128,-0.172,0.091
5.354568,0.139,-0.225,0.075
5.358653,0.213,-0.583,0.01
5.373518,0.225,-0.644,0.003
5.393723,0.292,-0.954,-0.031
5.412131,0.37,-1.035,-0.082
5.416998,0.397,-0.657,-0.139
5.419445,0.394,-0.589,-0.142
5.421794,0.385,-0.522,-0.144
5.424508,0.377,-0.455,-0.143
5.433724,0.368,-0.386,-0.142
5.436636,0.314,-0.135,-0.125
5.439095,0.295,-0.075,-0.119
5.441684,0.279,-0.017,-0.109
5.453045,0.255,0.034,-0.101
5.456735,0.143,0.266,-0.078
5.472835,0.12,0.304,-0.076
5.493802,-0.068,0.516,-0.098
5.497041,-0.299,0.557,-0.159
5.499446,-0.33,0.544,-0.163
5.501972,-0.36,0.529,-0.169
5.504573,-0.392,0.507,-0.172
5.507445,-0.425,0.48,-0.176
5.515835,-0.458,0.448,-0.176
5.519584,-0.59,0.273,-0.185
5.522118,-0.623,0.221,-0.187
5.524582,-0.656,0.164,-0.192
5.535244,-0.69,0.104,-0.197
5.539659,-0.826,-0.195,-0.246
5.542427,-0.851,-0.249,-0.264
5.554505,-0.872,-0.302,-0.281
5.557527,-0.922,-0.512,-0.396
5.574624,-0.915,-0.539,-0.419
5.593539,-0.74,-0.554,-0.509
5.597748,-0.33,-0.435,-0.419
5.600284,-0.275,-0.425,-0.395
5.602819,-0.223,-0.416,-0.372
5.605492,-0.172,-0.41,-0.349
5.608034,-0.125,-0.407,-0.324
5.614829,-0.076,-0.405,-0.302
5.618049,0.046,-0.414,-0.237
5.62048,0.082,-0.42,-0.22
5.622988,0.112,-0.427,-0.206
5.625462,0.142,-0.432,-0.191
5.634427,0.167,-0.438,-0.179
5.638113,0.24,-0.457,-0.156
5.640566,0.251,-0.461,-0.157
5.653865,0.256,-0.457,-0.159
5.658719,0.247,-0.402,-0.185
5.673073,0.24,-0.386,-0.189
5.678468,0.164,-0.294,-0.204
